sd_num,attn_dropout_a,attn_dropout_v,relu_dropout,embed_dropout,res_dropout,dst_feature_dim_nheads,batch_size,learning_rate,nlevels,conv1d_kernel_size_l,conv1d_kernel_size_a,conv1d_kernel_size_v,text_dropout,attn_dropout,output_dropout,grad_clip,patience,weight_decay,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
256,0.1,0.1,0.1,0.1,0.2,"[50, 10]",24,4e-05,6,1,1,3,0.2,0.3,0.5,0.6,5,0.005,0.8178,0.8172,0.8354,0.8354,0.5335,0.4636,0.7345,0.7887,0.7309
256,0.2,0.0,0.2,0.1,0.1,"[32, 8]",24,4e-05,4,1,1,1,0.1,0.1,0.5,1.0,5,0.005,0.8192,0.8193,0.8369,0.8375,0.5102,0.4388,0.7482,0.7917,0.7458
256,0.0,0.2,0.0,0.1,0.2,"[40, 5]",24,5e-05,6,3,5,3,0.5,0.4,0.1,0.8,5,0.005,0.8324,0.8321,0.8476,0.8478,0.5,0.4329,0.7713,0.7796,0.7685
512,0.1,0.2,0.0,0.1,0.2,"[36, 6]",24,5e-05,2,5,3,3,0.1,0.2,0.3,0.6,5,0.005,0.8192,0.8192,0.8384,0.8389,0.4913,0.4315,0.7583,0.7882,0.755
512,0.2,0.0,0.2,0.0,0.0,"[30, 10]",24,3e-05,4,5,3,5,0.4,0.3,0.4,0.6,5,0.005,0.8265,0.8256,0.846,0.8458,0.5029,0.4446,0.7557,0.7901,0.7522
1024,0.1,0.1,0.2,0.1,0.0,"[36, 6]",16,3e-05,2,1,1,3,0.3,0.1,0.1,0.8,5,0.005,0.8294,0.8282,0.8506,0.85,0.5423,0.4679,0.7197,0.7892,0.719
256,0.2,0.0,0.2,0.0,0.2,"[30, 10]",16,4e-05,6,3,3,5,0.2,0.5,0.4,1.0,5,0.005,0.8178,0.8182,0.8247,0.8256,0.4956,0.4344,0.7547,0.7968,0.7539
1024,0.1,0.1,0.2,0.0,0.0,"[32, 8]",24,3e-05,4,5,1,5,0.5,0.5,0.4,0.6,5,0.005,0.8192,0.8192,0.8399,0.8405,0.5029,0.4446,0.7601,0.7867,0.7567
256,0.2,0.1,0.1,0.1,0.0,"[40, 8]",24,3e-05,4,5,5,3,0.4,0.1,0.2,1.0,5,0.005,0.8178,0.8175,0.8369,0.8372,0.519,0.4534,0.7479,0.7828,0.7455
256,0.2,0.1,0.0,0.1,0.0,"[30, 6]",16,5e-05,2,1,5,3,0.1,0.4,0.4,1.0,5,0.005,0.8192,0.8188,0.8354,0.8355,0.5394,0.4738,0.7431,0.7825,0.7423
